Newton_method Runge_Kutta Analytical_solution
0.00880022 0.00880023 0.00880023
0.00890023 0.00890023 0.00890023
0.00900024 0.00900024 0.00900024
0.00910025 0.00910025 0.00910025
0.00920026 0.00920026 0.00920026
0.00930026 0.00930027 0.00930027
0.00940027 0.00940028 0.00940028
0.00950028 0.00950029 0.00950029
0.00960029 0.00960029 0.00960029
0.0097003 0.0097003 0.0097003
0.00980031 0.00980031 0.00980031
0.00990032 0.00990032 0.00990032
0.0100003 0.0100003 0.0100003
0.0101003 0.0101003 0.0101003
0.0102003 0.0102004 0.0102004
0.0103004 0.0103004 0.0103004
0.0104004 0.0104004 0.0104004
0.0105004 0.0105004 0.0105004
0.0106004 0.0106004 0.0106004
0.0107004 0.0107004 0.0107004
0.0108004 0.0108004 0.0108004
0.0109004 0.0109004 0.0109004
0.0110004 0.0110004 0.0110004
0.0111004 0.0111005 0.0111005
0.0112005 0.0112005 0.0112005
0.0113005 0.0113005 0.0113005
0.0114005 0.0114005 0.0114005
0.0115005 0.0115005 0.0115005
0.0116005 0.0116005 0.0116005
0.0117005 0.0117005 0.0117005
0.0118005 0.0118005 0.0118005
0.0119006 0.0119006 0.0119006
0.0120006 0.0120006 0.0120006
0.0121006 0.0121006 0.0121006
0.0122006 0.0122006 0.0122006
0.0123006 0.0123006 0.0123006
0.0124006 0.0124006 0.0124006
0.0125006 0.0125007 0.0125007
0.0126007 0.0126007 0.0126007
0.0127007 0.0127007 0.0127007
0.0128007 0.0128007 0.0128007
0.0129007 0.0129007 0.0129007
0.0130007 0.0130007 0.0130007
0.0131007 0.0131007 0.0131007
0.0132008 0.0132008 0.0132008
0.0133008 0.0133008 0.0133008
0.0134008 0.0134008 0.0134008
0.0135008 0.0135008 0.0135008
0.0136008 0.0136008 0.0136008
0.0137008 0.0137009 0.0137009
0.0138009 0.0138009 0.0138009
0.0139009 0.0139009 0.0139009
0.0140009 0.0140009 0.0140009
0.0141009 0.0141009 0.0141009
0.0142009 0.014201 0.014201
0.014301 0.014301 0.014301
0.014401 0.014401 0.014401
0.014501 0.014501 0.014501
0.014601 0.014601 0.014601
0.014701 0.0147011 0.0147011
0.0148011 0.0148011 0.0148011
0.0149011 0.0149011 0.0149011
0.0150011 0.0150011 0.0150011
0.0151011 0.0151011 0.0151011
0.0152012 0.0152012 0.0152012
0.0153012 0.0153012 0.0153012
0.0154012 0.0154012 0.0154012
0.0155012 0.0155012 0.0155012
0.0156013 0.0156013 0.0156013
0.0157013 0.0157013 0.0157013
0.0158013 0.0158013 0.0158013
0.0159013 0.0159013 0.0159013
0.0160014 0.0160014 0.0160014
0.0161014 0.0161014 0.0161014
0.0162014 0.0162014 0.0162014
0.0163014 0.0163014 0.0163014
0.0164015 0.0164015 0.0164015
0.0165015 0.0165015 0.0165015
0.0166015 0.0166015 0.0166015
0.0167015 0.0167016 0.0167016
0.0168016 0.0168016 0.0168016
0.0169016 0.0169016 0.0169016
0.0170016 0.0170016 0.0170016
0.0171017 0.0171017 0.0171017
0.0172017 0.0172017 0.0172017
0.0173017 0.0173017 0.0173017
0.0174017 0.0174018 0.0174018
0.0175018 0.0175018 0.0175018
0.0176018 0.0176018 0.0176018
0.0177018 0.0177018 0.0177018
0.0178019 0.0178019 0.0178019
0.0179019 0.0179019 0.0179019
0.0180019 0.0180019 0.0180019
0.018102 0.018102 0.018102
0.018202 0.018202 0.018202
0.018302 0.018302 0.018302
0.0184021 0.0184021 0.0184021
0.0185021 0.0185021 0.0185021
0.0186021 0.0186021 0.0186021
0.0187022 0.0187022 0.0187022
0.0188022 0.0188022 0.0188022
0.0189022 0.0189023 0.0189023
0.0190023 0.0190023 0.0190023
0.0191023 0.0191023 0.0191023
0.0192023 0.0192024 0.0192024
0.0193024 0.0193024 0.0193024
0.0194024 0.0194024 0.0194024
0.0195025 0.0195025 0.0195025
0.0196025 0.0196025 0.0196025
0.0197025 0.0197025 0.0197025
0.0198026 0.0198026 0.0198026
0.0199026 0.0199026 0.0199026
0.0200026 0.0200027 0.0200027
0.0201027 0.0201027 0.0201027
0.0202027 0.0202027 0.0202027
0.0203028 0.0203028 0.0203028
0.0204028 0.0204028 0.0204028
0.0205029 0.0205029 0.0205029
0.0206029 0.0206029 0.0206029
0.0207029 0.020703 0.020703
0.020803 0.020803 0.020803
0.020903 0.020903 0.020903
0.0210031 0.0210031 0.0210031
0.0211031 0.0211031 0.0211031
0.0212032 0.0212032 0.0212032
0.0213032 0.0213032 0.0213032
0.0214032 0.0214033 0.0214033
0.0215033 0.0215033 0.0215033
0.0216033 0.0216034 0.0216034
0.0217034 0.0217034 0.0217034
0.0218034 0.0218035 0.0218035
0.0219035 0.0219035 0.0219035
0.0220035 0.0220036 0.0220036
0.0221036 0.0221036 0.0221036
0.0222036 0.0222036 0.0222036
0.0223037 0.0223037 0.0223037
0.0224037 0.0224037 0.0224037
0.0225038 0.0225038 0.0225038
0.0226038 0.0226038 0.0226038
0.0227039 0.0227039 0.0227039
0.0228039 0.022804 0.022804
0.022904 0.022904 0.022904
0.023004 0.0230041 0.0230041
0.0231041 0.0231041 0.0231041
0.0232041 0.0232042 0.0232042
0.0233042 0.0233042 0.0233042
0.0234042 0.0234043 0.0234043
0.0235043 0.0235043 0.0235043
0.0236044 0.0236044 0.0236044
0.0237044 0.0237044 0.0237044
0.0238045 0.0238045 0.0238045
0.0239045 0.0239046 0.0239046
0.0240046 0.0240046 0.0240046
0.0241046 0.0241047 0.0241047
0.0242047 0.0242047 0.0242047
0.0243048 0.0243048 0.0243048
0.0244048 0.0244048 0.0244048
0.0245049 0.0245049 0.0245049
0.0246049 0.024605 0.024605
0.024705 0.024705 0.024705
0.0248051 0.0248051 0.0248051
0.0249051 0.0249051 0.0249051
0.0250052 0.0250052 0.0250052
0.0251052 0.0251053 0.0251053
0.0252053 0.0252053 0.0252053
0.0253054 0.0253054 0.0253054
0.0254054 0.0254055 0.0254055
0.0255055 0.0255055 0.0255055
0.0256056 0.0256056 0.0256056
0.0257056 0.0257057 0.0257057
0.0258057 0.0258057 0.0258057
0.0259058 0.0259058 0.0259058
0.0260058 0.0260059 0.0260059
0.0261059 0.0261059 0.0261059
0.026206 0.026206 0.026206
0.026306 0.0263061 0.0263061
0.0264061 0.0264061 0.0264061
0.0265062 0.0265062 0.0265062
0.0266062 0.0266063 0.0266063
0.0267063 0.0267063 0.0267063
0.0268064 0.0268064 0.0268064
0.0269065 0.0269065 0.0269065
0.0270065 0.0270066 0.0270066
0.0271066 0.0271066 0.0271066
0.0272067 0.0272067 0.0272067
0.0273067 0.0273068 0.0273068
0.0274068 0.0274069 0.0274069
0.0275069 0.0275069 0.0275069
0.027607 0.027607 0.027607
0.027707 0.0277071 0.0277071
0.0278071 0.0278072 0.0278072
0.0279072 0.0279072 0.0279072
0.0280073 0.0280073 0.0280073
0.0281074 0.0281074 0.0281074
0.0282074 0.0282075 0.0282075
0.0283075 0.0283076 0.0283076
0.0284076 0.0284076 0.0284076
0.0285077 0.0285077 0.0285077
0.0286078 0.0286078 0.0286078
0.0287078 0.0287079 0.0287079
0.0288079 0.028808 0.028808
0.028908 0.028908 0.028908
0.0290081 0.0290081 0.0290081
0.0291082 0.0291082 0.0291082
0.0292083 0.0292083 0.0292083
0.0293083 0.0293084 0.0293084
0.0294084 0.0294085 0.0294085
0.0295085 0.0295086 0.0295086
0.0296086 0.0296086 0.0296086
0.0297087 0.0297087 0.0297087
0.0298088 0.0298088 0.0298088
0.0299089 0.0299089 0.0299089
0.030009 0.030009 0.030009
0.030109 0.0301091 0.0301091
0.0302091 0.0302092 0.0302092
0.0303092 0.0303093 0.0303093
0.0304093 0.0304094 0.0304094
0.0305094 0.0305095 0.0305095
0.0306095 0.0306096 0.0306096
0.0307096 0.0307096 0.0307096
0.0308097 0.0308097 0.0308097
0.0309098 0.0309098 0.0309098
0.0310099 0.0310099 0.0310099
0.03111 0.03111 0.03111
0.0312101 0.0312101 0.0312101
0.0313102 0.0313102 0.0313102
0.0314103 0.0314103 0.0314103
0.0315104 0.0315104 0.0315104
0.0316105 0.0316105 0.0316105
0.0317106 0.0317106 0.0317106
0.0318107 0.0318107 0.0318107
0.0319108 0.0319108 0.0319108
0.0320109 0.0320109 0.0320109
0.032111 0.032111 0.032111
0.0322111 0.0322111 0.0322111
0.0323112 0.0323112 0.0323112
0.0324113 0.0324113 0.0324113
0.0325114 0.0325114 0.0325114
0.0326115 0.0326116 0.0326116
0.0327116 0.0327117 0.0327117
0.0328117 0.0328118 0.0328118
0.0329118 0.0329119 0.0329119
0.0330119 0.033012 0.033012
0.033112 0.0331121 0.0331121
0.0332121 0.0332122 0.0332122
0.0333123 0.0333123 0.0333123
0.0334124 0.0334124 0.0334124
0.0335125 0.0335125 0.0335125
0.0336126 0.0336127 0.0336127
0.0337127 0.0337128 0.0337128
0.0338128 0.0338129 0.0338129
0.0339129 0.033913 0.033913
0.034013 0.0340131 0.0340131
0.0341132 0.0341132 0.0341132
0.0342133 0.0342133 0.0342133
0.0343134 0.0343135 0.0343135
0.0344135 0.0344136 0.0344136
0.0345136 0.0345137 0.0345137
0.0346138 0.0346138 0.0346138
0.0347139 0.0347139 0.0347139
0.034814 0.0348141 0.0348141
0.0349141 0.0349142 0.0349142
0.0350142 0.0350143 0.0350143
0.0351144 0.0351144 0.0351144
0.0352145 0.0352145 0.0352145
0.0353146 0.0353147 0.0353147
0.0354147 0.0354148 0.0354148
0.0355149 0.0355149 0.0355149
0.035615 0.035615 0.035615
0.0357151 0.0357152 0.0357152
0.0358152 0.0358153 0.0358153
0.0359154 0.0359154 0.0359154
0.0360155 0.0360156 0.0360156
0.0361156 0.0361157 0.0361157
0.0362158 0.0362158 0.0362158
0.0363159 0.036316 0.036316
0.036416 0.0364161 0.0364161
0.0365162 0.0365162 0.0365162
0.0366163 0.0366164 0.0366164
0.0367164 0.0367165 0.0367165
0.0368166 0.0368166 0.0368166
0.0369167 0.0369168 0.0369168
0.0370168 0.0370169 0.0370169
0.037117 0.037117 0.037117
0.0372171 0.0372172 0.0372172
0.0373172 0.0373173 0.0373173
0.0374174 0.0374174 0.0374174
0.0375175 0.0375176 0.0375176
0.0376177 0.0376177 0.0376177
0.0377178 0.0377179 0.0377179
0.0378179 0.037818 0.037818
0.0379181 0.0379182 0.0379182
0.0380182 0.0380183 0.0380183
0.0381184 0.0381184 0.0381184
0.0382185 0.0382186 0.0382186
0.0383187 0.0383187 0.0383187
0.0384188 0.0384189 0.0384189
0.038519 0.038519 0.038519
0.0386191 0.0386192 0.0386192
0.0387193 0.0387193 0.0387193
0.0388194 0.0388195 0.0388195
0.0389196 0.0389196 0.0389196
0.0390197 0.0390198 0.0390198
0.0391199 0.0391199 0.0391199
0.03922 0.0392201 0.0392201
0.0393202 0.0393202 0.0393202
0.0394203 0.0394204 0.0394204
0.0395205 0.0395206 0.0395206
0.0396206 0.0396207 0.0396207
0.0397208 0.0397209 0.0397209
0.0398209 0.039821 0.039821
0.0399211 0.0399212 0.0399212
0.0400213 0.0400213 0.0400213
0.0401214 0.0401215 0.0401215
0.0402216 0.0402217 0.0402217
0.0403217 0.0403218 0.0403218
0.0404219 0.040422 0.040422
0.0405221 0.0405222 0.0405222
0.0406222 0.0406223 0.0406223
0.0407224 0.0407225 0.0407225
0.0408226 0.0408227 0.0408227
0.0409227 0.0409228 0.0409228
0.0410229 0.041023 0.041023
0.0411231 0.0411232 0.0411232
0.0412232 0.0412233 0.0412233
0.0413234 0.0413235 0.0413235
0.0414236 0.0414237 0.0414237
0.0415238 0.0415238 0.0415238
0.0416239 0.041624 0.041624
0.0417241 0.0417242 0.0417242
0.0418243 0.0418244 0.0418244
0.0419244 0.0419245 0.0419245
0.0420246 0.0420247 0.0420247
0.0421248 0.0421249 0.0421249
0.042225 0.0422251 0.0422251
0.0423252 0.0423252 0.0423252
0.0424253 0.0424254 0.0424254
0.0425255 0.0425256 0.0425256
0.0426257 0.0426258 0.0426258
0.0427259 0.042726 0.042726
0.0428261 0.0428262 0.0428262
0.0429262 0.0429263 0.0429263
0.0430264 0.0430265 0.0430265
0.0431266 0.0431267 0.0431267
0.0432268 0.0432269 0.0432269
0.043327 0.0433271 0.0433271
0.0434272 0.0434273 0.0434273
0.0435274 0.0435275 0.0435275
0.0436276 0.0436276 0.0436276
0.0437277 0.0437278 0.0437278
0.0438279 0.043828 0.043828
0.0439281 0.0439282 0.0439282
0.0440283 0.0440284 0.0440284
0.0441285 0.0441286 0.0441286
0.0442287 0.0442288 0.0442288
0.0443289 0.044329 0.044329
0.0444291 0.0444292 0.0444292
0.0445293 0.0445294 0.0445294
0.0446295 0.0446296 0.0446296
0.0447297 0.0447298 0.0447298
0.0448299 0.04483 0.04483
0.0449301 0.0449302 0.0449302
0.0450303 0.0450304 0.0450304
0.0451305 0.0451306 0.0451306
0.0452307 0.0452308 0.0452308
0.0453309 0.045331 0.045331
0.0454311 0.0454312 0.0454312
0.0455313 0.0455314 0.0455314
0.0456315 0.0456316 0.0456316
0.0457317 0.0457318 0.0457318
0.0458319 0.0458321 0.0458321
0.0459322 0.0459323 0.0459323
0.0460324 0.0460325 0.0460325
0.0461326 0.0461327 0.0461327
0.0462328 0.0462329 0.0462329
0.046333 0.0463331 0.0463331
0.0464332 0.0464333 0.0464333
0.0465334 0.0465335 0.0465335
0.0466337 0.0466338 0.0466338
0.0467339 0.046734 0.046734
0.0468341 0.0468342 0.0468342
0.0469343 0.0469344 0.0469344
0.0470345 0.0470346 0.0470346
0.0471347 0.0471349 0.0471349
0.047235 0.0472351 0.0472351
0.0473352 0.0473353 0.0473353
0.0474354 0.0474355 0.0474355
0.0475356 0.0475358 0.0475358
0.0476359 0.047636 0.047636
0.0477361 0.0477362 0.0477362
0.0478363 0.0478364 0.0478364
0.0479366 0.0479367 0.0479367
0.0480368 0.0480369 0.0480369
0.048137 0.0481371 0.0481371
0.0482372 0.0482374 0.0482374
0.0483375 0.0483376 0.0483376
0.0484377 0.0484378 0.0484378
0.0485379 0.0485381 0.0485381
0.0486382 0.0486383 0.0486383
0.0487384 0.0487385 0.0487385
0.0488387 0.0488388 0.0488388
0.0489389 0.048939 0.048939
0.0490391 0.0490393 0.0490393
0.0491394 0.0491395 0.0491395
0.0492396 0.0492397 0.0492397
0.0493399 0.04934 0.04934
0.0494401 0.0494402 0.0494402
0.0495403 0.0495405 0.0495405
0.0496406 0.0496407 0.0496407
0.0497408 0.049741 0.049741
0.0498411 0.0498412 0.0498412
0.0499413 0.0499415 0.0499415
0.0500416 0.0500417 0.0500417
0.0501418 0.050142 0.050142
0.0502421 0.0502422 0.0502422
0.0503423 0.0503425 0.0503425
0.0504426 0.0504427 0.0504427
0.0505428 0.050543 0.050543
0.0506431 0.0506432 0.0506432
0.0507434 0.0507435 0.0507435
0.0508436 0.0508437 0.0508437
0.0509439 0.050944 0.050944
0.0510441 0.0510443 0.0510443
0.0511444 0.0511445 0.0511445
0.0512447 0.0512448 0.0512448
0.0513449 0.051345 0.051345
0.0514452 0.0514453 0.0514453
0.0515454 0.0515456 0.0515456
0.0516457 0.0516458 0.0516458
0.051746 0.0517461 0.0517461
0.0518462 0.0518464 0.0518464
0.0519465 0.0519466 0.0519466
0.0520468 0.0520469 0.0520469
0.0521471 0.0521472 0.0521472
0.0522473 0.0522475 0.0522475
0.0523476 0.0523477 0.0523477
0.0524479 0.052448 0.052448
0.0525481 0.0525483 0.0525483
0.0526484 0.0526486 0.0526486
0.0527487 0.0527488 0.0527488
0.052849 0.0528491 0.0528491
0.0529493 0.0529494 0.0529494
0.0530495 0.0530497 0.0530497
0.0531498 0.05315 0.05315
0.0532501 0.0532502 0.0532502
0.0533504 0.0533505 0.0533505
0.0534507 0.0534508 0.0534508
0.053551 0.0535511 0.0535511
0.0536512 0.0536514 0.0536514
0.0537515 0.0537517 0.0537517
0.0538518 0.053852 0.053852
0.0539521 0.0539523 0.0539523
0.0540524 0.0540525 0.0540525
0.0541527 0.0541528 0.0541528
0.054253 0.0542531 0.0542531
0.0543533 0.0543534 0.0543534
0.0544536 0.0544537 0.0544537
0.0545539 0.054554 0.054554
0.0546542 0.0546543 0.0546543
0.0547545 0.0547546 0.0547546
0.0548548 0.0548549 0.0548549
0.0549551 0.0549552 0.0549552
0.0550554 0.0550555 0.0550555
0.0551557 0.0551558 0.0551558
0.055256 0.0552561 0.0552561
0.0553563 0.0553564 0.0553564
0.0554566 0.0554567 0.0554567
0.0555569 0.0555571 0.0555571
0.0556572 0.0556574 0.0556574
0.0557575 0.0557577 0.0557577
0.0558578 0.055858 0.055858
0.0559581 0.0559583 0.0559583
0.0560585 0.0560586 0.0560586
0.0561588 0.0561589 0.0561589
0.0562591 0.0562592 0.0562592
0.0563594 0.0563596 0.0563596
0.0564597 0.0564599 0.0564599
0.05656 0.0565602 0.0565602
0.0566604 0.0566605 0.0566605
0.0567607 0.0567608 0.0567608
0.056861 0.0568612 0.0568612
0.0569613 0.0569615 0.0569615
0.0570616 0.0570618 0.0570618
0.057162 0.0571621 0.0571621
0.0572623 0.0572625 0.0572625
0.0573626 0.0573628 0.0573628
0.057463 0.0574631 0.0574631
0.0575633 0.0575635 0.0575635
0.0576636 0.0576638 0.0576638
0.057764 0.0577641 0.0577641
0.0578643 0.0578645 0.0578645
0.0579646 0.0579648 0.0579648
0.058065 0.0580651 0.0580651
0.0581653 0.0581655 0.0581655
0.0582656 0.0582658 0.0582658
0.058366 0.0583661 0.0583661
0.0584663 0.0584665 0.0584665
0.0585667 0.0585668 0.0585668
0.058667 0.0586672 0.0586672
0.0587673 0.0587675 0.0587675
0.0588677 0.0588679 0.0588679
0.058968 0.0589682 0.0589682
0.0590684 0.0590686 0.0590686
0.0591687 0.0591689 0.0591689
0.0592691 0.0592693 0.0592693
0.0593694 0.0593696 0.0593696
0.0594698 0.05947 0.05947
0.0595701 0.0595703 0.0595703
0.0596705 0.0596707 0.0596707
0.0597708 0.059771 0.059771
0.0598712 0.0598714 0.0598714
0.0599716 0.0599717 0.0599717
0.0600719 0.0600721 0.0600721
0.0601723 0.0601725 0.0601725
0.0602726 0.0602728 0.0602728
0.060373 0.0603732 0.0603732
0.0604734 0.0604736 0.0604736
0.0605737 0.0605739 0.0605739
0.0606741 0.0606743 0.0606743
0.0607745 0.0607747 0.0607747
0.0608748 0.060875 0.060875
0.0609752 0.0609754 0.0609754
0.0610756 0.0610758 0.0610758
0.061176 0.0611761 0.0611761
0.0612763 0.0612765 0.0612765
0.0613767 0.0613769 0.0613769
0.0614771 0.0614773 0.0614773
0.0615775 0.0615777 0.0615777
0.0616778 0.061678 0.061678
0.0617782 0.0617784 0.0617784
0.0618786 0.0618788 0.0618788
0.061979 0.0619792 0.0619792
0.0620794 0.0620796 0.0620796
0.0621798 0.06218 0.06218
0.0622801 0.0622803 0.0622803
0.0623805 0.0623807 0.0623807
0.0624809 0.0624811 0.0624811
0.0625813 0.0625815 0.0625815
0.0626817 0.0626819 0.0626819
0.0627821 0.0627823 0.0627823
0.0628825 0.0628827 0.0628827
0.0629829 0.0629831 0.0629831
0.0630833 0.0630835 0.0630835
0.0631837 0.0631839 0.0631839
0.0632841 0.0632843 0.0632843
0.0633845 0.0633847 0.0633847
0.0634849 0.0634851 0.0634851
0.0635853 0.0635855 0.0635855
0.0636857 0.0636859 0.0636859
0.0637861 0.0637863 0.0637863
0.0638865 0.0638867 0.0638867
0.0639869 0.0639871 0.0639871
0.0640873 0.0640875 0.0640875
0.0641877 0.0641879 0.0641879
0.0642881 0.0642883 0.0642883
0.0643886 0.0643888 0.0643888
0.064489 0.0644892 0.0644892
0.0645894 0.0645896 0.0645896
0.0646898 0.06469 0.06469
0.0647902 0.0647904 0.0647904
0.0648906 0.0648909 0.0648909
0.0649911 0.0649913 0.0649913
0.0650915 0.0650917 0.0650917
0.0651919 0.0651921 0.0651921
0.0652923 0.0652925 0.0652925
0.0653928 0.065393 0.065393
0.0654932 0.0654934 0.0654934
0.0655936 0.0655938 0.0655938
0.065694 0.0656943 0.0656943
0.0657945 0.0657947 0.0657947
0.0658949 0.0658951 0.0658951
0.0659953 0.0659956 0.0659956
0.0660958 0.066096 0.066096
0.0661962 0.0661964 0.0661964
0.0662967 0.0662969 0.0662969
0.0663971 0.0663973 0.0663973
0.0664975 0.0664978 0.0664978
0.066598 0.0665982 0.0665982
0.0666984 0.0666986 0.0666986
0.0667989 0.0667991 0.0667991
0.0668993 0.0668995 0.0668995
0.0669998 0.067 0.067
0.0671002 0.0671004 0.0671004
0.0672007 0.0672009 0.0672009
0.0673011 0.0673013 0.0673013
0.0674016 0.0674018 0.0674018
0.067502 0.0675022 0.0675022
0.0676025 0.0676027 0.0676027
0.0677029 0.0677032 0.0677032
0.0678034 0.0678036 0.0678036
0.0679038 0.0679041 0.0679041
0.0680043 0.0680045 0.0680045
0.0681048 0.068105 0.068105
0.0682052 0.0682055 0.0682055
0.0683057 0.0683059 0.0683059
0.0684062 0.0684064 0.0684064
0.0685066 0.0685069 0.0685069
0.0686071 0.0686073 0.0686073
0.0687076 0.0687078 0.0687078
0.068808 0.0688083 0.0688083
0.0689085 0.0689088 0.0689088
0.069009 0.0690092 0.0690092
0.0691095 0.0691097 0.0691097
0.06921 0.0692102 0.0692102
0.0693104 0.0693107 0.0693107
0.0694109 0.0694112 0.0694112
0.0695114 0.0695116 0.0695116
0.0696119 0.0696121 0.0696121
0.0697124 0.0697126 0.0697126
0.0698128 0.0698131 0.0698131
0.0699133 0.0699136 0.0699136
0.0700138 0.0700141 0.0700141
0.0701143 0.0701146 0.0701146
0.0702148 0.0702151 0.0702151
0.0703153 0.0703155 0.0703155
0.0704158 0.070416 0.070416
0.0705163 0.0705165 0.0705165
0.0706168 0.070617 0.070617
0.0707173 0.0707175 0.0707175
0.0708178 0.070818 0.070818
0.0709183 0.0709185 0.0709185
0.0710188 0.071019 0.071019
0.0711193 0.0711195 0.0711195
0.0712198 0.0712201 0.0712201
0.0713203 0.0713206 0.0713206
0.0714208 0.0714211 0.0714211
0.0715213 0.0715216 0.0715216
0.0716218 0.0716221 0.0716221
0.0717223 0.0717226 0.0717226
0.0718229 0.0718231 0.0718231
0.0719234 0.0719236 0.0719236
0.0720239 0.0720242 0.0720242
0.0721244 0.0721247 0.0721247
0.0722249 0.0722252 0.0722252
0.0723255 0.0723257 0.0723257
0.072426 0.0724262 0.0724262
0.0725265 0.0725268 0.0725268
0.072627 0.0726273 0.0726273
0.0727276 0.0727278 0.0727278
0.0728281 0.0728284 0.0728284
0.0729286 0.0729289 0.0729289
0.0730291 0.0730294 0.0730294
0.0731297 0.0731299 0.0731299
0.0732302 0.0732305 0.0732305
0.0733308 0.073331 0.073331
0.0734313 0.0734316 0.0734316
0.0735318 0.0735321 0.0735321
0.0736324 0.0736326 0.0736326
0.0737329 0.0737332 0.0737332
0.0738335 0.0738337 0.0738337
0.073934 0.0739343 0.0739343
0.0740345 0.0740348 0.0740348
0.0741351 0.0741354 0.0741354
0.0742356 0.0742359 0.0742359
0.0743362 0.0743365 0.0743365
0.0744367 0.074437 0.074437
0.0745373 0.0745376 0.0745376
0.0746379 0.0746381 0.0746381
0.0747384 0.0747387 0.0747387
0.074839 0.0748393 0.0748393
0.0749395 0.0749398 0.0749398
0.0750401 0.0750404 0.0750404
0.0751407 0.0751409 0.0751409
0.0752412 0.0752415 0.0752415
0.0753418 0.0753421 0.0753421
0.0754424 0.0754426 0.0754426
0.0755429 0.0755432 0.0755432
0.0756435 0.0756438 0.0756438
0.0757441 0.0757444 0.0757444
0.0758446 0.0758449 0.0758449
0.0759452 0.0759455 0.0759455
0.0760458 0.0760461 0.0760461
0.0761464 0.0761467 0.0761467
0.076247 0.0762472 0.0762472
0.0763475 0.0763478 0.0763478
0.0764481 0.0764484 0.0764484
0.0765487 0.076549 0.076549
0.0766493 0.0766496 0.0766496
0.0767499 0.0767502 0.0767502
0.0768505 0.0768508 0.0768508
0.0769511 0.0769514 0.0769514
0.0770516 0.0770519 0.0770519
0.0771522 0.0771525 0.0771525
0.0772528 0.0772531 0.0772531
0.0773534 0.0773537 0.0773537
0.077454 0.0774543 0.0774543
0.0775546 0.0775549 0.0775549
0.0776552 0.0776555 0.0776555
0.0777558 0.0777561 0.0777561
0.0778564 0.0778567 0.0778567
0.077957 0.0779574 0.0779574
0.0780577 0.078058 0.078058
0.0781583 0.0781586 0.0781586
0.0782589 0.0782592 0.0782592
0.0783595 0.0783598 0.0783598
0.0784601 0.0784604 0.0784604
0.0785607 0.078561 0.078561
0.0786613 0.0786616 0.0786616
0.078762 0.0787623 0.0787623
0.0788626 0.0788629 0.0788629
0.0789632 0.0789635 0.0789635
0.0790638 0.0790641 0.0790641
0.0791644 0.0791648 0.0791648
0.0792651 0.0792654 0.0792654
